#SAMPLE	Canonical_Smiles
SJ000551065-1	Cc1ccc(OCC(O)CNC2CCCCC2)cc1
SJ000550682-1	CC1CCN(CC(O)Cn2c3ccc(Cl)cc3c4cc(Cl)ccc24)CC1
SJ000550416-1	Cc1cccc2c(cc(nc12)c3cccnc3)C(=O)N4CCN(Cc5ccccc5)CC4
SJ000550417-1	Cc1cccc2c(cc(nc12)c3cccnc3)C(=O)NCCN4CCOCC4
SJ000550617-1	CCOc1cc2CCNC(c3ccc(F)cc3)c2cc1OCC
SJ000550599-1	CC(CN1CCCCC1)NC(=O)c2cc(nc3ccc(Cl)cc23)c4cccnc4
SJ000550537-1	COc1cc2CCNC(c3ccc(Cl)c(Cl)c3)c2cc1OC
SJ000550603-1	Clc1ccc2nc(cc(C(=O)NCCN3CCOCC3)c2c1)c4cccc(Br)c4
SJ000550613-1	CCC(C)c1ccc(NC(=O)\C=C\c2cccc(Cl)c2)cc1
SJ000551207-1	COc1cccc(c1)c2cc(C(=O)N3CCN(Cc4ccccc4)CC3)c5ccccc5n2
SJ000550615-1	COc1ccc(\C=C\C(=O)Nc2ccc(cc2)C(C)C)cc1
SJ000550575-1	CCOc1cccc(c1)c2cc(C(=O)NCCN3CCOCC3)c4ccccc4n2
SJ000550626-1	CC(C)c1ccc(\C=C\C(=O)Nc2ccc(Cl)cc2)cc1
SJ000550577-1	O=C(N1CCN(Cc2ccccc2)CC1)c3cc(nc4ccccc34)c5ccccc5
SJ000550581-1	Cc1c(nc2ccccc2c1C(=O)N3CCN(Cc4ccccc4)CC3)c5ccccc5
SJ000550579-1	Cc1cccc(c1)c2cc(C(=O)N3CCN(Cc4ccccc4)CC3)c5ccccc5n2
SJ000550422-1	Clc1ccc2nc(cc(C(=O)N3CCC(Cc4ccccc4)CC3)c2c1)c5cccnc5
SJ000550580-1	Cc1cccc(c1)c2cc(C(=O)N3CCC(Cc4ccccc4)CC3)c5ccccc5n2
SJ000550413-1	Clc1ccc2nc(cc(C(=O)NCCN3CCOCC3)c2c1)c4cccnc4
SJ000550583-1	CN1CCN(CC1)C(=O)c2cc(nc3ccccc23)c4cccc(C)c4
SJ000551357-1	COCCOC(=O)c1c(C)oc2cc(Br)c(OC(=O)c3ccc(OC)cc3)cc12
SJ000551361-1	CCOC(=O)c1c(C)oc2cc(Br)c(OC(=O)C3CCCCC3)cc12
SJ000550519-1	CCOC(=O)c1cnc2ccc(OC)cc2c1Nc3ccc(OCc4ccccc4Cl)cc3
SJ000551362-1	CCOC(=O)C(Oc1ccc2oc(C)c(C(=O)OCC)c2c1)c3ccccc3
SJ000550520-1	CCOC(=O)c1cnc2ccc(OC)cc2c1Nc3ccc(cc3)N(C)C
SJ000551375-1	CCOC(=O)c1c(C)oc2ccc(OCC(=O)c3ccccc3)cc12
SJ000551371-1	CCOC(=O)c1cnc2c(C)cc(Cl)cc2c1Nc3cccc(c3)C(=O)C
SJ000551358-1	CCOC(=O)c1c(C)oc2cc(Br)c(OC(=O)c3ccc(OC)c(OC)c3)cc12
SJ000551388-1	CCN(CC)C(=O)c1c(C)oc2cc3c(C(=O)N(CC)CC)c(C)oc3cc12
SJ000550517-1	CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc3cccc(Cl)c3C
SJ000550516-1	CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc3ccc(CC)cc3
SJ000551188-1	COCCOC(=O)c1c(C)oc2ccc(OC(=O)c3oc4ccccc4c3)cc12
SJ000550565-1	CCOC(=O)c1cnc2c(Cl)cccc2c1Nc3cccc(OC)c3
SJ000551154-1	CN(C)c1ccc(cc1)c2nc(O)c3ccccc3n2
SJ000551386-1	COc1c(Br)cc2oc(C)c(C(=O)OCCN(C)C)c2c1Br
SJ000551153-1	CSc1ccc(cc1)c2nc(O)c3ccccc3n2
SJ000551390-1	COCCOC(=O)c1c(C)oc2cc(Br)c(OCC(=O)OCc3ccccc3)cc12
SJ000551379-1	COC(=O)c1c(C)oc2ccc(OC(=O)c3ccccc3)cc12
SJ000551391-1	COC(=O)c1c(C)oc2ccc(OC(=O)c3cccc(OC)c3)cc12
SJ000551378-1	COC(=O)c1c(C)oc2ccc(OC(=O)c3c(C)oc4ccc(OC(=O)C)cc34)cc12
SJ000551377-1	COCCOC(=O)c1c(C)oc2ccc(OC(=O)c3ccc(OC)cc3)cc12
SJ000550433-1	O=C(Nc1ccc(cc1)N2CCOCC2)c3cc(nc4ccccc34)c5cccnc5
SJ000550436-1	Clc1ccc2nc(cc(C(=O)N3CCC(Cc4ccccc4)CC3)c2c1)c5ccccc5
SJ000550791-1	COc1cccc(\C=C\c2nc(O)c3ccccc3n2)c1O
SJ000550913-1	O=C(CCc1ccccc1)Nc2ccc(cc2)c3nc4cc5ccccc5cc4[nH]3
SJ000550917-1	COc1ccc(CC(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3)cc1
SJ000550899-1	O=C(Cc1ccccc1)Nc2ccc3[nH]c(nc3c2)c4ccc(cc4)c5nc6cc(NC(=O)Cc7ccccc7)ccc6[nH]5
SJ000550571-1	CCOC(=O)c1cnc2c(C)cccc2c1Nc3cccc(c3)C(=O)C
SJ000550557-1	CCOC(=O)c1cnc2ccc(C)cc2c1Nc3ccc4OCCOc4c3
SJ000551088-1	Oc1nc(\C=C\c2cccc3ccccc23)nc4ccccc14
SJ000550545-1	CCOC(=O)c1cnc2ccc(Cl)cc2c1Nc3ccc(OC)cc3
SJ000550438-1	CC(C)c1ccc(CN2CCN(CC2)C(=O)c3cc(nc4ccc(C)cc34)c5ccccn5)cc1
SJ000551762-1	CCOC(=O)C1=C(C)N=C2SC(=Cc3c(OC)ccc4ccccc34)C(=O)N2C1c5ccc6OCOc6c5
SJ000551750-1	O=C1CC(Sc2nc3ccccc3n12)c4cccc5ccccc45
SJ000550406-1	Clc1ccc2nc(cc(C(=O)NC3CCN(Cc4ccccc4)CC3)c2c1)c5ccncc5
SJ000550405-1	Clc1ccc2nc(cc(C(=O)N3CCN(Cc4ccccc4)CC3)c2c1)c5ccncc5
SJ000550596-1	CN1CCC(CC1)NC(=O)c2cc(nc3ccc(C)cc23)c4ccccn4
SJ000550408-1	CCN1CCN(CC1)C(=O)c2cc(nc3ccc(Cl)cc23)c4ccncc4
SJ000550594-1	COc1cccc(CN2CCN(CC2)C(=O)c3cc(nc4ccc(C)cc34)c5cccnc5)c1
SJ000550404-1	Cc1c(Cl)ccc2c(cc(nc12)c3cccnc3)C(=O)N4CCC(Cc5ccccc5)CC4
SJ000550402-1	Cc1ccc2nc(cc(C(=O)NC3CCN(Cc4ccccc4)CC3)c2c1)c5ccncc5
SJ000550597-1	Cc1ccc2nc(cc(C(=O)N3CCC(Cc4ccccc4)CC3)c2c1)c5ccccn5
SJ000550444-1	Cc1ccc2nc(cc(C(=O)NCCN3CCOCC3)c2c1)c4ccncc4
SJ000551733-1	COc1ccc(CN2CCCn3c4C2CCCc4c5cc(C)ccc35)cc1
SJ000550442-1	CCOc1ccc(cc1)c2cc(C(=O)N3CCN(Cc4ccccc4)CC3)c5cc(C)ccc5n2
SJ000551683-1	CCc1ccc(OC2=C(Oc3c(CN4CC(C)OC(C)C4)c(O)ccc3C2=O)C(F)(F)F)cc1
SJ000551650-1	Cc1cc(OC2=C(Oc3c(CN4CCOCC4)c(O)ccc3C2=O)C(F)(F)F)cc(C)c1Cl
SJ000551666-1	CC1CCCCN1Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)c4cccc(Cl)c4
SJ000551659-1	Oc1ccc2C(=O)C(=C(Oc2c1CN3CCCCC3)C(F)(F)F)c4cccc5ccccc45
SJ000550567-1	CCOC(=O)c1cnc2c(OC)cccc2c1Nc3ccccc3C(=O)O
SJ000550823-1	O=C1OC(=Nc2ccccc12)\C=C\c3ccc(cc3)C#N
SJ000550549-1	FC(F)(F)c1ccc(NC(=O)c2ccc3C(=O)N4CCCCCC4=Nc3c2)cc1
SJ000550810-1	Oc1ccc2ccccc2c1\C=C\c3nc(O)c4ccccc4n3
SJ000550543-1	CCOC(=O)c1cnc2c(OC)cccc2c1Nc3cccc(c3)C(=O)C
SJ000550541-1	CCOC(=O)c1cnc2c(OC)cccc2c1Nc3ccc(cc3)C(=O)O
SJ000550511-1	COc1cc(Nc2ccnc3cc(Cl)ccc23)c(cc1OC)C(=O)O
SJ000550789-1	Oc1ccc(Br)cc1\C=C\c2nc(O)c3ccccc3n2
SJ000550540-1	CCOC(=O)c1cnc2ccccc2c1Nc3cccc(O)c3
SJ000550905-1	Cc1ccc2[nH]c(nc2c1)c3ccc(NC(=O)c4ccc(C)c(C)c4)cc3
SJ000550902-1	O=C(Nc1ccccc1c2nc3ccccc3[nH]2)c4ccncc4
SJ000550515-1	CCOC(=O)c1ccc2ncc(C(=O)OCC)c(Nc3ccccc3OC)c2c1
SJ000550514-1	CCOC(=O)c1cnc2ccc(cc2c1Nc3ccc(cc3)N(C)C)C(=O)OC
SJ000550570-1	CCOC(=O)c1cnc2c(C)c(C)ccc2c1Nc3ccc(O)cc3
SJ000550437-1	CCCCN1CCN(CC1)C(=O)c2cc(nc3ccc(C)cc23)c4cccnc4
SJ000550569-1	COc1ccc(Nc2c(cnc3c(C)c(Cl)ccc23)C(=O)O)c(OC)c1
SJ000550439-1	Cc1ccc(CN2CCN(CC2)C(=O)c3cc(nc4ccc(Br)cc34)c5ccccc5)cc1
SJ000551016-1	Cc1cc(c(C)cc1Cl)S(=O)(=O)N2CCC(CO)(Cc3cccc(c3)C(F)(F)F)CC2
SJ000551644-1	CCN1CCN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4ccccc4Br)CC1
SJ000550981-1	CCCn1nnnc1NC(=O)c2cccc(Cl)c2
SJ000551669-1	Cc1c(O)ccc2C(=O)C(=C(Oc12)C(F)(F)F)Oc3ccc(Cl)cc3
SJ000551638-1	CN1C(=O)N(CC(=O)N2CCCCC2)c3ccccc13
SJ000551692-1	COc1ccccc1C2=C(Oc3c(CN4CCOCC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551658-1	COc1ccccc1C2=C(Oc3c(CN4CCCC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551654-1	COc1ccc(cc1OC)C2=C(Oc3c(CN4CC(C)OC(C)C4)c(O)ccc3C2=O)C(F)(F)F
SJ000551686-1	Oc1ccc2C(=O)C(=C(Oc2c1CN3CCOCC3)C(F)(F)F)Oc4ccccc4Cl
SJ000551653-1	COc1ccc(cc1OC)C2=C(Oc3c(CN4CCCC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551641-1	Cc1ccc(C)c(OC2=C(Oc3c(CN4CCOCC4)c(O)ccc3C2=O)C(F)(F)F)c1
SJ000551676-1	COc1ccc(cc1OC)C2=C(Oc3c(CN4CCOCC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551671-1	CCOc1ccccc1OC2=C(Oc3c(CN4CCCCCC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551674-1	COc1ccc(cc1OC)C2=C(Oc3c(CN4CCN(C)CC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551681-1	Oc1ccc2C(=O)C(=C(Oc2c1CN3CCCC3)C(F)(F)F)Oc4ccc5ccccc5c4
SJ000551691-1	COc1ccccc1C2=C(Oc3c(CN4CCC(C)CC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551645-1	CN1CCN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4cccc(C)c4)CC1
SJ000551655-1	COc1ccc(cc1OC)C2=C(Oc3c(CN4CCCCC4C)c(O)ccc3C2=O)C(F)(F)F
SJ000551672-1	COc1ccccc1C2=C(Oc3c(CN(C)C4CCCCC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551642-1	CN1CCN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4cc(C)ccc4C)CC1
SJ000551685-1	COc1ccc(OC2=C(Oc3c(CN4CCCC(C)C4)c(O)ccc3C2=O)C(F)(F)F)cc1
SJ000551643-1	Oc1ccc2C(=O)C(=C(Oc2c1CN3CCCCC3)C(F)(F)F)Oc4ccccc4Cl
SJ000551652-1	COc1ccccc1C2=C(Oc3c(CN4CC(C)OC(C)C4)c(O)ccc3C2=O)C(F)(F)F
SJ000551668-1	CC1CCN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)c4cccc(Cl)c4)CC1
SJ000551647-1	CC1CCN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4cccc(C)c4)CC1
SJ000551238-1	CN(C1CCCN(C1)C2Cc3ccccc3C2)C(=O)c4cc5nc(C)cc(C)n5n4
SJ000551404-1	CN(c1ccccc1)c2nc(nc(n2)N3CCOCC3)C#N
SJ000551364-1	Nc1nc(nc(n1)N2CCCCC2)N(c3ccccc3)c4ccccc4
SJ000551680-1	CC1CN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4cc(C)cc(C)c4)CC(C)O1
SJ000335783-2	COC(=O)c1ccccc1NC(=O)C2CC2c3ccccc3
SJ000551670-1	Cc1cccc(OC2=C(Oc3c(CN4CCCC4)c(O)ccc3C2=O)C(F)(F)F)c1
SJ000487122-2	Cc1ccc(Nc2cc(C)nc(n2)N3CCOCC3)cc1
SJ000550788-1	CCN1C(=Nc2ccccc2C1=O)\C=C\c3ccc(OC)c(OC)c3
SJ000551397-1	Brc1ccc(cc1)c2nc(cc(n2)c3ccccc3)N4CCOCC4
SJ000550502-1	CCN(CC)C(=O)C1=CN(C=C(C(=O)NC2CCN(Cc3ccccc3)CC2)C1=O)C4CCCC4
SJ000550501-1	CCN(CC)C1CCN(C1)C(=O)C2=CN(C=C(C(=O)NC(C)(C)C)C2=O)C3CCCCC3
SJ000551414-1	N#CNc1nc(nc(n1)N2CCOCC2)N3CCOCC3
SJ000550500-1	CC(C)(C)NC(=O)C1=CN(C=C(C(=O)NC2CCN(Cc3ccccc3)CC2)C1=O)C4CCCCC4
SJ000550769-1	OCCC1CN(Cc2c(O)ccc3ccccc23)CCN1C4CCCC4
SJ000551109-1	CSc1nnc(CNC(=O)c2cc(ccc2Cl)C(F)(F)F)n1c3ccc(F)cc3
SJ000349335-2	CC(C)CCN1C=C(C(=O)NC(C)(C)C)C(=O)C(=C1)C(=O)N2CCN(C\C=C\c3ccccc3)CC2
SJ000550568-1	Cc1c(Cl)ccc2c(Nc3cccc(O)c3)c(cnc12)C(=O)O
SJ000550491-1	CCN(CC)C(=O)C1=CN(C=C(C(=O)NC2CCN(Cc3ccccc3)C2)C1=O)C4CCCC4
SJ000551250-1	CN(Cc1ccccc1)C2CCCN(C2)C(=O)c3cc4nc(C)cc(C)n4n3
SJ000551374-1	COCCOC(=O)c1c(C)oc2ccc(OCC(=O)c3ccccc3)cc12
SJ000551246-1	O=C(N1CCN(CC1)C(=O)c2cnn3cccnc23)c4occc4
SJ000551163-1	CCN(CC)CCN1C(Nc2ccccc2C1=O)c3ccc(Br)cc3
SJ000551245-1	O=C(NCCCN1CCOCC1)c2cc3nc(cc(c4ccccc4)n3n2)c5ccccc5
SJ000551244-1	CCOC(=O)C1CCCN(C1)C(=O)c2cc3nc(cc(c4ccccc4)n3n2)c5ccccc5
SJ000551214-1	Cc1ccc(cc1Cl)N2C(Nc3ccccc3C2=O)c4ccccc4
SJ000551213-1	CCCCc1ccc(cc1)N2C(Nc3ccccc3C2=O)c4ccccc4Cl
SJ000551675-1	COc1ccc(cc1OC)C2=C(Oc3c(CN4CCC(C)CC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551215-1	Clc1ccc(cc1)C2Nc3ccccc3C(=O)N2c4ccc(Cl)cc4
SJ000551688-1	COc1ccccc1C2=C(Oc3c(CN4CCCCC4)c(O)ccc3C2=O)C(F)(F)F
SJ000551690-1	CCC1CCCCN1Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)c4ccccc4OC
SJ000550967-1	COc1cc(CNc2nnnn2C)ccc1OCc3c(Cl)cccc3Cl
SJ000551651-1	COc1ccc(OC2=C(Oc3c(CN4CCCCCC4)c(O)ccc3C2=O)C(F)(F)F)cc1
SJ000551184-1	[O-][N+](=O)c1ccc(\C=N\NC(=O)C2CC2(c3ccccc3)c4ccccc4)cc1
SJ000551656-1	CC1CCN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)c4cccc5ccccc45)CC1
SJ000551677-1	CC1CN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4cccc(C)c4)CC(C)O1
SJ000551678-1	CN1CCN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)c4cccc5ccccc45)CC1
SJ000551277-1	CC1CCN(CC1)C(=O)c2cc3nc(cc(n3n2)C(F)(F)F)c4ccc(C)cc4
SJ000551646-1	Cc1cc(C)cc(OC2=C(Oc3c(CN4CCOCC4)c(O)ccc3C2=O)C(F)(F)F)c1
SJ000551221-1	Cc1cc(nc2cc(nn12)C(=O)N3CCN(CC3)C(c4ccccc4)c5ccccc5)c6ccccc6
SJ000551657-1	CC1CN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)c4cccc5ccccc45)CC(C)O1
SJ000550505-1	CC(C)N1C=C(C(=O)NC2CCN(Cc3ccccc3)C2)C(=O)C(=C1)C(=O)NC(C)(C)C
SJ000550668-1	COCCNCC(O)Cn1c2ccc(Cl)cc2c3cc(Cl)ccc13
SJ000550495-1	CCNC(=O)C1=CN(CC2CCCCC2)C=C(C(=O)NCC(C)(C)N3CCOCC3)C1=O
SJ000550704-1	OC(CNC1CC1)Cn2c3ccccc3c4ccccc24
SJ000550480-1	COc1ccc(CCNC(=O)C2=CN(C=C(C(=O)NC(C)(C)C)C2=O)C3CCCCC3)cc1
SJ000550494-1	CC(C)CCN1C=C(C(=O)NC(C)(C)C)C(=O)C(=C1)C(=O)N2CCC(CC2)C(C)N3CCOCC3
SJ000550479-1	CC(C)CCN1C=C(C(=O)NC2CCCC2)C(=O)C(=C1)C(=O)N3CCN(CC3)C(C)C
SJ000551269-1	Brc1ccccc1NC(=O)C2CC2
SJ000550478-1	CN(CC(O)c1ccccc1)C(=O)C2=CN(C=C(C(=O)NC(C)(C)C)C2=O)C3CCCCC3
SJ000551424-1	CN1CCN(CC1)c2cc(N)nc(N)n2
SJ000551707-1	CCc1ccc2c(c1)c3CCCC4NCCn2c34
SJ000550492-1	CC(C)(C)NC(=O)C1=CN(C=C(C(=O)N2CCC(CC2)c3ccccc3)C1=O)C4CCCCC4
SJ000551155-1	Nc1ccc(cc1)c2nc(O)c3ccccc3n2
SJ000551236-1	O=C(N(CC1CCCO1)Cc2ccc(OCCN3CCCCC3)cc2)c4cc5ncccn5n4
SJ000551335-1	COc1cc(CO)cc(Cl)c1OCC(=O)N
SJ000551239-1	CN(Cc1ccc(OCC2CCCN(C2)C(=O)c3cc4nc(C)cc(C)n4n3)cc1)Cc5cccc6ccccc56
SJ000551367-1	Nc1ncnc(N2CCOCC2)c1N
SJ000550978-1	OCC1(Cc2cccc(c2)C(F)(F)F)CCN(CC1)S(=O)(=O)\C=C\c3ccccc3
SJ000551333-1	COc1cc(CNC(=O)N)cc(OC)c1OC
SJ000551266-1	CCCCOc1ccccc1NC(=O)C2CC2
SJ000338511-2	COc1ccc(CNc2nnnn2C)c(OC)c1
SJ000551366-1	COc1nc(nc(n1)N(C)C)N(C)C
SJ000550900-1	OC(CNCCOc1ccccc1)Cn2c3ccccc3c4ccccc24
SJ000551262-1	CC1(C)CC1C(=O)Nc2ccc(cc2)[N+](=O)[O-]
SJ000553612-1	Cc1ccc(cc1)C(=O)N2CCC(CCNC(=O)C(C)(C)C)CC2
SJ000550970-1	CCCCn1nnnc1NCc2ccccc2
SJ000553618-1	Fc1ccccc1N2CCN(CC2)C(=O)c3ccc(Cn4cncn4)cc3
SJ000553607-1	CC(=O)c1ccc(cc1)C(=O)N2CCN(CC2)c3nc4cc(C)cc(C)c4s3
SJ000551735-1	Cc1ccc2c(c1)c3CCCC4=NCCCn2c34
SJ000553617-1	COc1ccc(cc1)N2CCN(CC2)C(=O)c3ccc(Cn4cncn4)cc3
SJ000553603-1	CN1CCN(CC1)C(=O)c2ccc(CN3C(=O)C(=Nc4cc(C)c(C)cc34)C)cc2
SJ000553610-1	Cc1ccc(cc1)S(=O)(=O)NCc2ccc(cc2)C(=O)N3CCN(CC3)C4CCCCC4
SJ000553616-1	O=C(N1CCN(CC1)c2ccccn2)c3ccc(Cn4cncn4)cc3
SJ000553602-1	CCCN1CCN(CC1)C(=O)c2ccc(CN3C(=O)C(=Nc4ccccc34)C)cc2
SJ000551125-1	Fc1ccc(cc1)N2CCN(CC2)C(=O)C3CC3
SJ000553609-1	Fc1ccc(cc1C(=O)N2CCOCC2)S(=O)(=O)N3CCOCC3
SJ000553615-1	Cc1ccc(Cl)cc1N2CCN(CC2)C(=O)c3ccc(Cn4cncn4)cc3
SJ000338919-2	Nc1ccc(Cl)cc1N2CCOCC2
SJ000553601-1	Cc1ccc(cc1)C(=O)N2CCC(CC(=O)N3CCCCC3)CC2
SJ000551701-1	CCOC(=O)c1c(C)oc2ccc(OC)cc12
SJ000553606-1	CCCN1CCN(C2CCN(CC2)C(=O)c3ccc(CC)cc3)C1=O
SJ000553608-1	Cc1ccc(cc1)C(=O)N2CCN(Cc3noc(n3)c4ccccc4)CC2
SJ000551409-1	Nc1cc(ccc1Cl)N2CCOCC2
SJ000553614-1	O=C(N1CCN(Cc2noc3ccccc23)CC1)c4ccc(cc4)C#N
SJ000551694-1	Cc1ccc(cc1)c2nc3cc(C)ccc3[nH]2
SJ000551056-1	CCNCC(O)COc1ccccc1
SJ000553578-1	CC1CN(CC(C)O1)C(=O)c2ccc(C)c(c2)[N+](=O)[O-]
SJ000551695-1	COc1ccc(cc1)c2nc3cc(N)ccc3[nH]2
SJ000551700-1	CCOC(=O)c1c(C)oc2ccc(O)cc12
SJ000553577-1	COC(=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)N2CC(C)OC(C)C2
SJ000553576-1	CCOc1ccc(cc1OCC)C(=O)N2CC(C)OC(C)C2
SJ000553575-1	Clc1ccc(SCc2ccc(cc2)C(=O)N3CCN(Cc4ccccc4)CC3)cc1
SJ000553574-1	COC(=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)N2CCOCC2
SJ000553573-1	CC1CN(CC(C)O1)C(=O)c2cc(cc(c2)[N+](=O)[O-])C(=O)N3CC(C)OC(C)C3
SJ000553572-1	COc1ccc(N2CCN(CC2)C(=O)c3ccc(C)cc3)c(c1)[N+](=O)[O-]
SJ000553587-1	Fc1cc(Cl)c(cc1F)C(=O)Nc2cc(cc(c2)C(=O)N3CCOCC3)C(=O)N4CCOCC4
SJ000553580-1	Cc1ccc(cc1)C(=O)N2CCN(CC2)c3ncccn3
SJ000553571-1	Cc1ccc(cc1)C(=O)N2CCN(CC2)c3ccc(cc3Cl)[N+](=O)[O-]
SJ000553579-1	COc1ccc(cc1)N2CCN(CC2)C(=O)c3ccc(CSc4ccccc4)cc3
SJ000553570-1	Cc1ccc(cc1)C(=O)N2CCN(CC2)c3ccc(F)cc3
SJ000553600-1	COc1ccc(cc1)N2CCN(CC2)C(=O)CC3CCN(CC3)C(=O)c4ccc(C)cc4
SJ000553583-1	CC1CCCCN1C(=O)c2ccc(COc3ccccc3Br)cc2
SJ000553605-1	CCc1ccc(cc1)C(=O)N2CCCC(C2)c3cccc(c3)C(=O)N4CCN(CC4)c5ccccc5F
SJ000553586-1	FC(F)(F)c1ccc(cc1)C(=O)N2CCN(CC#N)CC2
SJ000553620-1	[O-][N+](=O)c1cc(ccc1F)C(=O)N2CCOCC2
SJ000553589-1	CC(C)(C)c1ccc(cc1)C(=O)N2CCCCC2CCN3CCOCC3
SJ000553613-1	Cc1ccc(cc1)C(=O)N2CCC(CCNC(=O)\C=C\c3ccccc3)CC2
SJ000553595-1	Cc1ccc(Nc2cc(ncn2)N3CCN(CC3)C(=O)c4ccc(C)cc4)cc1
SJ000553582-1	Clc1ccccc1OCc2ccc(cc2)C(=O)N3CCN(CC3)c4ccccc4
SJ000553604-1	CCc1ccc(cc1)C(=O)N2CCCC(C2)c3cccc(c3)C(=O)N4CCOCC4
SJ000553585-1	[O-][N+](=O)c1cc(cc(c1)C(=O)N2CCOCC2)C(=O)N3CCOCC3
SJ000553592-1	Cc1ccc(cc1)C(=O)N2CCN(CCc3ccncc3)CC2
SJ000553588-1	CC1CN(CCN1C(=O)c2ccc(C)cc2)c3ccc(cc3Cl)[N+](=O)[O-]
SJ000553598-1	CCN1CCN(CC1)C(=O)c2ccc(CN3C(=O)CCn4nc(C)cc34)cc2
SJ000553594-1	Cc1ccc(cc1)C(=O)N2CCN(CC2)c3cc(nc(C)n3)N4CCOCC4
SJ000553584-1	[O-][N+](=O)c1cc(F)c(F)cc1C(=O)N2CCOCC2
SJ000553599-1	Cc1ccc(cc1F)C(=O)N2CCC(CC2)c3onc(n3)c4ccccc4C
SJ000553591-1	CS(=O)(=O)N1CCc2cc(ccc12)C(=O)N3CCOCC3
SJ000553597-1	CN1CCN(CC1)C(=O)c2ccc(CN3C(=O)CSc4ncccc34)cc2
SJ000553593-1	Cc1ccc(cc1)C(=O)N2CCN(CCc3ccccn3)CC2
SJ000553581-1	Clc1ccc(OCc2ccc(cc2)C(=O)N3CCN(CC3)c4ccccc4)c(Cl)c1
SJ000553590-1	Cc1ccc(cc1)C(=O)N2CCN(CC3=CC(=O)Oc4cc(C)ccc34)CC2
SJ000551667-1	CN(C)Cc1c(O)ccc2C(=O)C(=C(Oc12)C(F)(F)F)Oc3cc(C)c(Cl)c(C)c3
SJ000553596-1	O=C(N1CCN(CC1)c2oc3ncccc3n2)c4ccc(cc4)C#N
SJ000551696-1	CCOc1ccc(cc1)c2nc3cc(C)ccc3[nH]2
SJ000550507-1	O=C(NC1CCCCC1)C2=CN(C=C(C(=O)NC3CCN(Cc4ccccc4)CC3)C2=O)C5CC5
SJ000550508-1	CN(CCOc1ccc(C)cc1)C(=O)C2=CN(C=C(C(=O)NC(C)(C)C)C2=O)C3CCCCC3
SJ000550476-1	CC(C)(C)NC(=O)C1=CN(C=C(C(=O)N2CCN(Cc3cccc(F)c3)CC2)C1=O)C4CCCCC4
SJ000550477-1	CNC(=O)C1=CN(C=C(C(=O)NCC(N2CCCCC2)c3ccccc3)C1=O)C4CCCCC4
SJ000550459-1	O=C(NCC1CCCCC1)C2=CN(C=C(C(=O)NC3CCN(Cc4ccccc4)CC3)C2=O)C5CC5
SJ000550767-1	CN1CCN(CC1)[C@@H]2CCN(Cc3cc(Cl)ccc3O)C[C@H]2O
SJ000550460-1	CC(C)(C)NC(=O)C1=CN(C=C(C(=O)N2CCN(CC2)c3ccccc3F)C1=O)C4CCCCC4
SJ000550458-1	O=C(NCC(N1CCCCC1)c2ccccc2)C3=CN(C=C(C(=O)NC4CCCCC4)C3=O)C5CC5
SJ000550452-1	COc1ccccc1N2CCN(CC2)C(=O)C3=CN(CCC(C)C)C=C(C(=O)NC(C)(C)C)C3=O
SJ000550866-1	OC(CN1CCN(Cc2ccccc2)CC1)Cn3c4ccc(Cl)cc4c5cc(Cl)ccc35
SJ000550496-1	COc1ccccc1CN2CCN(CC2)C(=O)C3=CN(CCC(C)C)C=C(C(=O)NC(C)(C)C)C3=O
SJ000550914-1	Brc1cncc(c1)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3
SJ000550454-1	CCNC(=O)C1=CN(Cc2ccccc2)C=C(C(=O)NC3CCN(Cc4ccccc4)C3)C1=O
